ens,flag,m2200,mmax,t0,tau,m2200 scaled,mmax scaled
27.0,0,0.20638821084873,0.37406649387889956,191.062513762525,40.077437148632,7.42997559055428,13.466393779640384
28.0,0,0.114531725094065,0.6471609613970486,220.358628849177,13.2459216656102,4.12314210338634,23.29779461029375
29.0,0,0.696026703259144,0.8628395619632556,121.138959516458,51.2480347438949,25.056961317329183,31.062224230677202
30.0,0,0.345232837671677,0.6247157545192294,181.550489724898,61.3228550504353,12.428382156180373,22.48976716269226
31.0,0,0.965343215939749,1.2803707107116225,159.664860722889,35.550748937237,34.75235577383096,46.09334558561841
32.0,0,0.536603670902565,0.6596834939011842,170.61713540641,19.9521813988559,19.31773215249234,23.74860578044263
33.0,0,0.148996145882681,0.18861346062408302,137.928018253495,44.9230819925828,5.363861251776516,6.790084582466989
34.0,0,0.798664680183384,1.619745880065011,194.669477785603,67.362483575968,28.751928486601823,58.3108516823404
35.0,0,0.387074851377306,0.4099917686414756,114.066503199556,30.1463856570017,13.934694649583017,14.75970367109312
36.0,0,0.667025569471236,1.3033627011338922,186.09154370553,73.1833666769153,24.012920500964498,46.92105724082012
37.0,0,0.0225421473092218,0.027837414355644796,153.406960640953,31.9423849635242,0.8115173031319848,1.0021469168032127
38.0,0,0.935863500782551,2.3147216561449113,209.957191178621,25.7403314776319,33.69108602817184,83.32997962121681
39.0,0,0.253721841256123,0.3140632497218121,129.350636264807,46.7518145634698,9.133986285220429,11.306276989985236
40.0,0,0.24489446606051,0.532082962632785,204.837719133791,63.6199522962404,8.81620077817836,19.15498665478026
41.0,0,0.569509791400067,0.6346899053016841,105.614953804844,41.8861145448058,20.502352490402412,22.84883659086063
42.0,0,0.482490774888432,0.5379487511811476,166.308320261947,15.5737601363624,17.369667895983554,19.366155042521314
43.0,0,0.832053197347589,1.1855634203755017,144.426741016737,57.5526588843234,29.953915104513204,42.68028313351806
44.0,0,0.990324450470213,1.2546576420334077,111.224326736524,59.2601722843119,35.651680216927666,45.16767511320268
45.0,0,0.320438539673901,0.6402984095200281,199.518311070834,38.2486969486578,11.535787428260436,23.050742742721013
46.0,0,0.720007204652639,0.7229261097256767,134.910414112511,11.8171447141156,25.920259367495003,26.025339950124362
47.0,0,0.0906160856195364,0.15124586976639876,175.534696268552,53.058118677323,3.26217908230331,5.444851311590355
48.0,0,0.411918770596715,0.6637797933956335,154.73966418774,69.426239742541,14.82907574148174,23.896072562242807
49.0,0,0.773641440122609,1.2152747286666,184.560465644129,27.4473642451313,27.851091844413926,43.7498902319976
50.0,0,0.172869735116382,0.17633223700499912,116.297758178607,21.3800709543109,6.223310464189752,6.347960532179968
51.0,0,0.51267286524823,1.4045129101725706,223.208429808334,43.1138854551942,18.456223148936278,50.56246476621254
52.0,0,0.0381141439815224,0.05441298400796768,179.184813882552,24.475912006925,1.3721091833348065,1.9588674242868365
53.0,0,0.651396361967117,0.9651102056966465,162.061039439621,48.526132670399,23.450269030816212,34.743967405079275
54.0,0,0.3006635038795,0.7383569770638587,218.817699530826,74.9654349675961,10.823886139662001,26.580851174298914
55.0,0,0.888986701941078,0.9617864914400798,122.649382234795,30.6702153090658,32.00352126987881,34.62431369184287
56.0,0,0.616443581246652,1.0898590388285356,196.088294083063,14.8172576767699,22.191968924879472,39.23492539782728
